main_artist_id,main_artist_name,popularity,song_id,song_length,song_name
7dGJo4pcD2V6oG8kP0tJRR,eminem,58,6HLZaECJKDjNE0jiGBeqxz,213493,on fire
5SXEylV07TC57eanSxxg4R,stick figure,58,7mnk9W0umx7q4Vo4FjtOot,327986,fire on the horizon
7uWXomGkKtIq9B4XgA3gch,third day,58,73ZSUS3WLluxgASR1Hp74B,197706,soul on fire (feat. all sons & daughters)
7wg1qvie3KqDNQbAkTdbX0,louis the child,57,22wcNdDej7sJO0UnaerFN7,174400,world on fire
7giUHu5pv6YTZgSkxxCcgh,edward sharpe & the magnetic zeros,57,6Kn5yzAyOw3jf4Y5a6d1Oq,259079,man on fire
0QWyMXrcM0ykx7t6XxvZ25,girls next door,57,0zfBEVqve4eLyyhyYanwIg,208893,deep blue eyes
4MXUO7sVCaFgFjoTI5ox5c,sufjan stevens,57,5OojmQ36TXkfL2JfoFJcaq,254053,all the trees of the field will clap their hands
5aL7sOIxn0GV0JoFGdONT6,silver maple,57,4RHLT0z4liOjY9HCvhcQYV,155458,where there used to be trees
1AgxgADPuRIW1wyaA4OKcB,tom rosenthal,57,0Dzpz7CsRzA7e31nPl26jk,164721,middle of my mind
1AgxgADPuRIW1wyaA4OKcB,tom rosenthal,57,01GPuP9T4ZQD6HhHylmY4V,142280,go solo
64tNsm6TnZe2zpcMVMOoHL,alice in chains,57,2O2ii9OPZYh1NBXo9FtE0Y,237906,check my brain
3DiDSECUqqY1AuBP8qtaIa,alicia keys,57,5VIUVUvwHPM2vJaQpznd5W,321360,fire we make
5aCopGFOGbHyfqe3yotDPu,citipointe live,57,5yYA6z10aM3HlQZ3RRSLT3,598066,heart on fire (live)
1AgxgADPuRIW1wyaA4OKcB,tom rosenthal,57,30dahk4tve6wEBfM2aVgbh,191352,it's ok
2GviJIF5KQyHXXf9KNw47h,livit,57,15ICXUuC9iDeGAHKFuClDL,215806,on fire
4lujUKeO6nQAJXpq37Epn7,son little,57,3GHzLV34LAz2e4scBN5V0W,213192,blue magic (waikiki)
4LLpKhyESsyAXpc4laK94U,mac miller,57,24OMJgeZvpSu92TbAe2WYh,173516,party on fifth ave.
2qc41rNTtdLK0tV3mJn2Pm,ryan adams,57,04rMpRstoJt3uvqyNGKczX,211666,when the stars go blue
4Kxlr1PRlDKEB0ekOCyHgX,bigbang,57,18Ey2CGtr5TkKbblJIwVMa,235106,blue
6meTcQ79DrfkIuSLPZkpBg,the story so far,57,2MS98sTzH3OsaFS4ZKzqPK,171955,navy blue
3CjlHNtplJyTf9npxaPl5w,chvrches,57,5JNOYtRd2E9QiwosqMCBmZ,259440,clearest blue - gryffin remix
5ZS223C6JyBfXasXxrRqOk,jhene aiko,57,4Y8MG7qcAMk7JB7Eebpcvu,217026,blue dream
00tVTdpEhQQw1bqdu8RCx2,blue öyster cult,57,0M7oqERflkrJVHD3IAZqxo,242640,cities on flame with rock and roll
5ZsFI1h6hIdQRw2ti0hz81,zayn,57,1LLIkqUK19oJXHozT5PJ3B,224320,blue
4F84IBURUo98rz4r61KF70,the white stripes,57,2b0AarwIy6Dr0oJeAhc80s,157560,blue orchid
25G98u3On0VI401E9rlLmm,neptune blue,57,0T1W6ImPlg2Xr31xeGK0Ql,178053,heartbeat
1moxjboGR7GNWYIMWsRjgG,florence + the machine,57,1w9ta1CvXlJPRXh6Py2Mto,216176,what kind of man
7BMccF0hQFBpP6417k1OtQ,action bronson,57,24vei1c18jIVzMgertbQiV,160437,durag vs. headband (feat. big body bes)
3WGpXCj9YhhfX11TToZcXP,troye sivan,57,3KV9J5y3HDHKTOtjJtHwqi,223794,lost boy
4LLpKhyESsyAXpc4laK94U,mac miller,57,6ET22Ri3FYXi5C8BBqHWcO,178902,missed calls
0RpddSzUHfncUWNJXKOsjy,neon trees,56,5qlmB5wVFkUWOhTkS2L3XF,208613,feel good
5hW4L92KnC6dX9t7tYM4Ve,joni mitchell,56,7jeSFewaQLq8t2x8OZFQxZ,214240,all i want
49qiE8dj4JuNdpYGRPdKbF,stone sour,56,78KKdGAVBVZmgj6rCaLayI,285600,the witness trees
